player_id,activity_date,sessions_count,total_duration_seconds,events_count,purchases_count,revenue_usd,social_interactions_count,days_since_install
p_000001,2024-08-03,0,0,0,0,0,1,0
p_000003,2024-06-20,1,149,3,0,0,0,0
p_000007,2024-10-06,1,181,3,0,0,0,0
p_000008,2024-05-14,1,84,2,0,0,1,0
p_000010,2024-01-02,1,69,1,0,0,0,1
p_000012,2024-01-11,2,262,3,0,0,0,1
p_000013,2024-02-22,2,481,4,0,0,1,0
p_000013,2024-02-23,1,88,1,0,0,0,1
p_000015,2024-09-24,0,0,0,0,0,1,0
p_000016,2024-08-11,1,282,1,0,0,0,1
p_000017,2024-03-01,0,0,0,0,0,1,1
p_000017,2024-03-02,1,141,3,0,0,0,2
p_000019,2024-06-28,3,588,6,0,0,0,1
p_000020,2024-08-18,1,218,1,0,0,0,0
p_000020,2024-08-20,0,0,0,0,0,1,2
p_000021,2024-07-17,0,0,0,0,0,1,1
p_000021,2024-07-18,1,278,1,0,0,0,2
p_000022,2024-12-19,2,160,3,0,0,1,0
p_000023,2024-05-11,1,280,1,0,0,0,1
p_000024,2024-06-17,2,415,4,0,0,0,1
p_000024,2024-06-18,0,0,0,0,0,1,2
p_000025,2024-01-07,1,224,1,0,0,0,2
p_000026,2024-02-18,1,140,2,0,0,0,0
p_000027,2024-07-01,1,200,2,0,0,0,1
p_000029,2024-08-02,1,211,1,0,0,0,0
p_000029,2024-08-04,1,199,2,0,0,0,2
p_000031,2024-11-03,1,110,1,0,0,1,0
p_000032,2024-08-24,1,95,2,0,0,0,1
p_000034,2024-05-01,1,63,3,0,0,0,0
p_000034,2024-05-02,0,0,0,0,0,1,1
p_000034,2024-05-04,1,144,2,0,0,0,3
p_000035,2024-09-28,0,0,0,0,0,1,1
p_000035,2024-09-29,1,170,2,0,0,0,2
p_000036,2024-12-28,1,194,2,0,0,0,2
p_000037,2024-04-15,1,141,2,0,0,0,0
p_000039,2024-05-16,0,0,0,0,0,1,0
p_000040,2024-01-15,3,611,3,0,0,0,2
p_000041,2024-02-15,0,0,0,0,0,1,2
p_000042,2024-06-07,1,87,2,0,0,0,0
p_000043,2024-12-11,1,161,1,0,0,1,0
p_000044,2024-10-25,0,0,0,0,0,1,0
p_000044,2024-10-28,1,234,2,0,0,0,3
p_000046,2024-02-12,1,227,3,0,0,0,2
p_000047,2024-06-30,1,82,2,0,0,0,0
p_000048,2024-11-21,1,155,1,0,0,0,0
p_000048,2024-11-22,0,0,0,0,0,1,1
p_000049,2024-12-09,0,0,0,0,0,1,2
p_000049,2024-12-10,1,293,1,0,0,0,3
p_000050,2024-02-18,0,0,0,0,0,1,0
p_000051,2024-12-21,1,277,2,0,0,0,0
p_000052,2024-02-16,0,0,0,0,0,1,1
