player_id,archetype,install_date,country_code,platform,device_tier,acquisition_channel,is_payer,lifetime_days,last_active_date,is_churned,total_sessions,total_purchases,total_revenue_usd,total_social_interactions,friends_count
p_001433,casual,2024-05-15,FR,android,mid,tiktok,0,85,2024-08-08,1,11,0,0,15,1
p_002090,burst,2024-09-16,FR,android,low,organic,0,7,2024-09-23,1,4,0,0,16,2
p_002825,whale_payer,2024-02-28,MX,android,low,facebook,1,307,2024-12-31,0,196,32,305.68,76,8
p_001122,casual,2024-08-11,KR,ios,mid,organic,0,81,2024-10-31,1,5,0,0,15,3
p_001494,casual,2024-07-14,ES,ios,low,google,0,52,2024-09-04,1,5,0,0,11,1
p_001807,burst,2024-04-04,AU,android,high,google,1,15,2024-04-19,1,13,2,5.98,20,2
p_002657,engaged,2024-04-06,KR,android,low,facebook,0,269,2024-12-31,0,96,0,0,116,14
p_002392,engaged,2024-01-15,RU,ios,low,google,0,329,2024-12-09,1,97,0,0,92,12
p_000550,casual,2024-10-19,TH,ios,mid,facebook,0,61,2024-12-19,1,5,0,0,11,2
p_001795,casual,2024-12-28,PH,android,mid,google,0,3,2024-12-31,0,0,0,0,4,0
p_000244,early_churn,2024-04-30,CA,android,mid,facebook,0,1,2024-05-01,1,0,0,0,0,0
p_001282,casual,2024-12-02,TR,ios,high,google,0,29,2024-12-31,0,1,0,0,4,0
p_001166,casual,2024-04-06,US,android,high,organic,0,18,2024-04-24,1,4,0,0,9,1
p_002351,engaged,2024-02-03,AR,ios,high,unity_ads,0,332,2024-12-31,0,106,0,0,116,15
p_000485,casual,2024-06-29,BR,ios,mid,organic,0,75,2024-09-12,1,10,0,0,20,3
p_000308,casual,2024-04-11,JP,android,high,organic,0,32,2024-05-13,1,2,0,0,8,1
p_001657,casual,2024-04-07,GB,ios,high,organic,0,15,2024-04-22,1,1,0,0,8,1
p_002567,engaged,2024-06-18,US,android,mid,tiktok,0,196,2024-12-31,0,56,0,0,78,11
p_001678,casual,2024-11-15,JP,android,mid,tiktok,0,36,2024-12-21,1,7,0,0,11,1
p_001469,casual,2024-12-02,BR,android,mid,facebook,0,27,2024-12-29,1,2,0,0,13,1
p_002866,minnow_payer,2024-05-03,US,android,mid,tiktok,1,138,2024-09-18,1,21,4,3.96,27,3
p_000309,casual,2024-07-27,IT,ios,low,applovin,0,36,2024-09-01,1,4,0,0,15,5
p_001222,casual,2024-11-26,US,android,low,organic,0,20,2024-12-16,1,1,0,0,3,0
p_001981,burst,2024-12-28,FR,ios,mid,google,0,3,2024-12-31,0,2,0,0,7,1
p_002432,engaged,2024-02-15,RU,android,low,facebook,0,254,2024-10-26,1,80,0,0,106,16
p_000955,casual,2024-10-24,US,ios,mid,facebook,0,68,2024-12-31,0,6,0,0,16,0
p_002274,engaged,2024-01-18,IN,ios,high,tiktok,0,344,2024-12-27,1,115,0,0,75,5
p_002868,minnow_payer,2024-08-26,US,ios,mid,facebook,1,61,2024-10-26,1,9,5,27.95,23,5
p_001794,casual,2024-02-27,JP,android,mid,unity_ads,0,43,2024-04-10,1,4,0,0,9,1
p_001404,casual,2024-12-03,FR,android,low,applovin,0,28,2024-12-31,0,1,0,0,9,2
p_001689,casual,2024-03-26,DE,ios,high,organic,0,27,2024-04-22,1,1,0,0,7,0
p_001576,casual,2024-06-11,GB,ios,low,facebook,0,65,2024-08-15,1,6,0,0,20,4
p_001415,casual,2024-01-06,PH,ios,mid,applovin,0,32,2024-02-07,1,5,0,0,6,2
p_001850,burst,2024-03-31,JP,android,low,unity_ads,0,19,2024-04-19,1,14,0,0,22,6
p_002630,engaged,2024-04-20,US,ios,mid,other,0,255,2024-12-31,0,65,0,0,94,10
p_002030,burst,2024-11-27,GB,ios,mid,organic,0,16,2024-12-13,1,13,0,0,9,0
p_001243,casual,2024-11-13,MX,ios,mid,organic,0,48,2024-12-31,0,6,0,0,8,1
p_002878,minnow_payer,2024-01-20,AU,ios,mid,applovin,1,147,2024-06-15,1,29,15,26.85,21,1
p_002489,engaged,2024-05-22,BR,android,low,organic,0,223,2024-12-31,0,71,0,0,75,10
p_000617,casual,2024-02-23,US,ios,low,organic,0,81,2024-05-14,1,7,0,0,15,1
