purchase_id,player_id,session_id,purchase_timestamp,product_sku,price_usd,coins_granted,days_since_install,is_first_purchase
pu_0000000,p_002825,s_p_002825_00001,2024-02-29T18:40:51.974Z,starter_pack,1.99,2000,1,1
pu_0000001,p_002825,s_p_002825_00002,2024-03-02T08:59:49.031Z,coins_large,19.99,25000,3,0
pu_0000002,p_002825,s_p_002825_00003,2024-03-03T16:32:11.968Z,coins_small,0.99,1000,4,0
pu_0000003,p_002825,s_p_002825_00005,2024-03-11T06:45:36.407Z,coins_large,19.99,25000,12,0
pu_0000004,p_002825,s_p_002825_00006,2024-03-12T19:34:01.986Z,coins_medium,4.99,5500,13,0
pu_0000005,p_002825,s_p_002825_00006,2024-03-12T19:34:53.612Z,coins_medium,4.99,5500,13,0
pu_0000006,p_002825,s_p_002825_00019,2024-03-26T19:04:11.805Z,coins_large,19.99,25000,27,0
pu_0000007,p_002825,s_p_002825_00024,2024-03-31T21:16:47.978Z,coins_small,0.99,1000,32,0
pu_0000008,p_002825,s_p_002825_00040,2024-04-19T12:40:14.559Z,vip_monthly,9.99,10000,51,0
pu_0000009,p_002825,s_p_002825_00043,2024-04-20T21:46:15.885Z,coins_small,0.99,1000,52,0
pu_000000a,p_002825,s_p_002825_00043,2024-04-20T21:54:51.326Z,coins_large,19.99,25000,52,0
pu_000000b,p_002825,s_p_002825_00055,2024-05-11T12:40:59.488Z,coins_large,19.99,25000,73,0
pu_000000c,p_002825,s_p_002825_00056,2024-05-11T13:44:54.730Z,coins_medium,4.99,5500,73,0
pu_000000d,p_002825,s_p_002825_00066,2024-05-25T20:25:42.788Z,coins_large,19.99,25000,87,0
pu_000000e,p_002825,s_p_002825_00072,2024-06-02T06:34:25.055Z,vip_monthly,9.99,10000,95,0
pu_000000f,p_002825,s_p_002825_00079,2024-06-13T17:09:56.773Z,coins_large,19.99,25000,106,0
pu_000000g,p_002825,s_p_002825_00086,2024-07-01T20:56:21.912Z,coins_large,19.99,25000,124,0
pu_000000h,p_002825,s_p_002825_00092,2024-07-15T12:43:03.026Z,coins_small,0.99,1000,138,0
pu_000000i,p_002825,s_p_002825_00100,2024-07-31T18:43:58.369Z,coins_medium,4.99,5500,154,0
pu_000000j,p_002825,s_p_002825_00100,2024-07-31T18:46:19.453Z,coins_small,0.99,1000,154,0
pu_000000k,p_002825,s_p_002825_00104,2024-08-05T11:29:34.348Z,coins_large,19.99,25000,159,0
pu_000000l,p_002825,s_p_002825_00113,2024-08-17T22:23:33.905Z,coins_medium,4.99,5500,171,0
pu_000000m,p_002825,s_p_002825_00113,2024-08-17T22:12:46.931Z,starter_pack,1.99,2000,171,0
pu_000000n,p_002825,s_p_002825_00120,2024-08-28T11:53:04.011Z,coins_medium,4.99,5500,182,0
pu_000000o,p_002825,s_p_002825_00128,2024-09-04T12:09:26.370Z,coins_medium,4.99,5500,189,0
pu_000000p,p_002825,s_p_002825_00149,2024-10-04T10:48:03.838Z,coins_medium,4.99,5500,219,0
pu_000000q,p_002825,s_p_002825_00157,2024-10-14T13:39:46.257Z,coins_small,0.99,1000,229,0
pu_000000r,p_002825,s_p_002825_00161,2024-10-19T17:54:03.678Z,coins_medium,4.99,5500,234,0
pu_000000s,p_002825,s_p_002825_00166,2024-10-26T16:08:43.662Z,coins_large,19.99,25000,241,0
pu_000000t,p_002825,s_p_002825_00169,2024-10-29T14:15:44.244Z,coins_large,19.99,25000,244,0
pu_000000u,p_002825,s_p_002825_00177,2024-11-05T10:20:12.725Z,vip_monthly,9.99,10000,251,0
pu_000000v,p_002825,s_p_002825_00190,2024-11-24T06:25:15.575Z,coins_small,0.99,1000,270,0
pu_000000w,p_001807,s_p_001807_00008,2024-04-10T07:48:17.931Z,coins_medium,4.99,5500,6,1
pu_000000x,p_001807,s_p_001807_00010,2024-04-13T11:32:20.121Z,coins_small,0.99,1000,9,0
pu_000000y,p_002866,s_p_002866_00008,2024-06-25T15:35:19.971Z,coins_small,0.99,1000,53,1
pu_000000z,p_002866,s_p_002866_00010,2024-07-05T20:48:26.815Z,coins_small,0.99,1000,63,0
pu_0000010,p_002866,s_p_002866_00016,2024-07-21T20:52:24.535Z,coins_small,0.99,1000,79,0
pu_0000011,p_002866,s_p_002866_00018,2024-08-08T18:56:50.332Z,coins_small,0.99,1000,97,0
pu_0000012,p_002868,s_p_002868_00002,2024-09-15T23:38:08.902Z,coins_small,0.99,1000,20,1
pu_0000013,p_002868,s_p_002868_00004,2024-09-23T08:10:01.038Z,coins_small,0.99,1000,28,0
pu_0000014,p_002868,s_p_002868_00006,2024-10-04T07:40:29.638Z,coins_small,0.99,1000,39,0
pu_0000015,p_002868,s_p_002868_00006,2024-10-04T07:41:19.300Z,coins_large,19.99,25000,39,0
pu_0000016,p_002868,s_p_002868_00007,2024-10-07T10:11:17.797Z,coins_medium,4.99,5500,42,0
pu_0000017,p_002878,s_p_002878_00003,2024-01-28T14:24:42.397Z,starter_pack,1.99,2000,8,1
pu_0000018,p_002878,s_p_002878_00003,2024-01-28T14:21:35.960Z,coins_small,0.99,1000,8,0
pu_0000019,p_002878,s_p_002878_00007,2024-02-15T13:22:22.847Z,coins_small,0.99,1000,26,0
pu_000001a,p_002878,s_p_002878_00009,2024-02-21T08:12:16.232Z,coins_small,0.99,1000,32,0
pu_000001b,p_002878,s_p_002878_00011,2024-02-28T08:38:32.173Z,starter_pack,1.99,2000,39,0
pu_000001c,p_002878,s_p_002878_00012,2024-02-28T20:27:15.383Z,coins_small,0.99,1000,39,0
pu_000001d,p_002878,s_p_002878_00015,2024-03-20T10:45:07.194Z,starter_pack,1.99,2000,60,0
pu_000001e,p_002878,s_p_002878_00017,2024-04-02T09:43:35.978Z,coins_small,0.99,1000,73,0
pu_000001f,p_002878,s_p_002878_00018,2024-04-04T10:50:50.370Z,coins_small,0.99,1000,75,0
pu_000001g,p_002878,s_p_002878_00020,2024-04-06T16:34:33.357Z,coins_medium,4.99,5500,77,0
pu_000001h,p_002878,s_p_002878_00026,2024-05-01T19:09:50.497Z,coins_small,0.99,1000,102,0
pu_000001i,p_002878,s_p_002878_00026,2024-05-01T19:14:54.811Z,coins_small,0.99,1000,102,0
pu_000001j,p_002878,s_p_002878_00026,2024-05-01T19:08:55.729Z,coins_medium,4.99,5500,102,0
pu_000001k,p_002878,s_p_002878_00027,2024-05-06T21:50:25.773Z,coins_small,0.99,1000,107,0
pu_000001l,p_002878,s_p_002878_00027,2024-05-06T21:45:20.506Z,starter_pack,1.99,2000,107,0
pu_000001m,p_002770,s_p_002770_00001,2024-04-01T18:15:06.415Z,starter_pack,1.99,2000,1,1
pu_000001n,p_002770,s_p_002770_00001,2024-04-01T17:57:13.373Z,vip_monthly,9.99,10000,1,0
pu_000001o,p_002770,s_p_002770_00002,2024-04-02T08:11:42.222Z,coins_large,19.99,25000,2,0
pu_000001p,p_002770,s_p_002770_00002,2024-04-02T08:08:27.891Z,coins_medium,4.99,5500,2,0
pu_000001q,p_002770,s_p_002770_00002,2024-04-02T08:09:58.134Z,coins_large,19.99,25000,2,0
pu_000001r,p_002770,s_p_002770_00003,2024-04-04T18:24:20.294Z,coins_medium,4.99,5500,4,0
pu_000001s,p_002770,s_p_002770_00003,2024-04-04T18:22:17.900Z,vip_monthly,9.99,10000,4,0
pu_000001t,p_002770,s_p_002770_00004,2024-04-05T13:46:21.415Z,coins_large,19.99,25000,5,0
pu_000001u,p_002770,s_p_002770_00004,2024-04-05T13:52:18.437Z,coins_small,0.99,1000,5,0
pu_000001v,p_002770,s_p_002770_00005,2024-04-06T07:12:57.854Z,coins_small,0.99,1000,6,0
pu_000001w,p_002770,s_p_002770_00005,2024-04-06T07:07:12.783Z,coins_large,19.99,25000,6,0
pu_000001x,p_002770,s_p_002770_00006,2024-04-07T10:58:42.560Z,coins_medium,4.99,5500,7,0
pu_000001y,p_002770,s_p_002770_00009,2024-04-10T09:26:07.028Z,vip_monthly,9.99,10000,10,0
pu_000001z,p_002770,s_p_002770_00016,2024-04-20T17:22:55.087Z,vip_monthly,9.99,10000,20,0
pu_0000020,p_002770,s_p_002770_00020,2024-04-25T19:47:11.057Z,coins_medium,4.99,5500,25,0
pu_0000021,p_002770,s_p_002770_00020,2024-04-25T19:44:32.942Z,starter_pack,1.99,2000,25,0
pu_0000022,p_002770,s_p_002770_00024,2024-04-30T18:39:42.055Z,coins_medium,4.99,5500,30,0
pu_0000023,p_002770,s_p_002770_00027,2024-05-02T20:01:51.516Z,coins_large,19.99,25000,32,0
pu_0000024,p_002770,s_p_002770_00028,2024-05-03T09:07:53.848Z,coins_large,19.99,25000,33,0
pu_0000025,p_002770,s_p_002770_00035,2024-05-09T12:39:39.434Z,coins_large,19.99,25000,39,0
pu_0000026,p_002770,s_p_002770_00041,2024-05-16T19:26:59.165Z,coins_large,19.99,25000,46,0
pu_0000027,p_002770,s_p_002770_00046,2024-05-18T21:23:03.355Z,coins_large,19.99,25000,48,0
pu_0000028,p_002770,s_p_002770_00053,2024-05-27T14:42:06.029Z,coins_large,19.99,25000,57,0
pu_0000029,p_002770,s_p_002770_00054,2024-05-28T06:35:23.891Z,coins_large,19.99,25000,58,0
pu_000002a,p_002770,s_p_002770_00055,2024-05-29T06:25:33.719Z,coins_medium,4.99,5500,59,0
pu_000002b,p_002770,s_p_002770_00057,2024-06-03T20:13:30.658Z,coins_small,0.99,1000,64,0
pu_000002c,p_002770,s_p_002770_00059,2024-06-06T13:43:43.050Z,coins_large,19.99,25000,67,0
pu_000002d,p_002770,s_p_002770_00059,2024-06-06T13:42:52.551Z,starter_pack,1.99,2000,67,0
pu_000002e,p_002770,s_p_002770_00075,2024-06-23T07:35:53.982Z,coins_medium,4.99,5500,84,0
pu_000002f,p_002770,s_p_002770_00083,2024-07-08T12:50:25.435Z,coins_medium,4.99,5500,99,0
pu_000002g,p_002770,s_p_002770_00087,2024-07-11T07:40:00.858Z,coins_large,19.99,25000,102,0
pu_000002h,p_002770,s_p_002770_00089,2024-07-12T09:26:43.847Z,vip_monthly,9.99,10000,103,0
pu_000002i,p_002770,s_p_002770_00089,2024-07-12T09:27:26.025Z,coins_large,19.99,25000,103,0
pu_000002j,p_002770,s_p_002770_00092,2024-07-15T15:34:03.876Z,coins_large,19.99,25000,106,0
