session_id,player_id,session_start,session_end,duration_seconds,session_number,days_since_install,days_since_last_session,app_version,crashed
s_p_002797_00001,p_002797,2024-01-01T16:00:37Z,2024-01-01T16:40:05Z,2368,1,0,,3.9.2,0
s_p_002797_00002,p_002797,2024-01-01T16:34:43Z,2024-01-01T17:01:18Z,1595,2,0,0,3.8.0,0
s_p_002797_00003,p_002797,2024-01-02T09:55:55Z,2024-01-02T10:24:53Z,1738,3,1,0,3.7.1,0
s_p_002797_00004,p_002797,2024-01-03T10:53:06Z,2024-01-03T11:09:46Z,1000,4,2,1,3.8.0,0
s_p_002797_00005,p_002797,2024-01-03T11:10:11Z,2024-01-03T11:48:59Z,2328,5,2,0,3.6.0,0
s_p_002797_00006,p_002797,2024-01-05T13:04:45Z,2024-01-05T13:18:15Z,810,6,4,2,3.6.0,0
s_p_002797_00007,p_002797,2024-01-06T23:23:21Z,2024-01-06T23:50:56Z,1655,7,5,1,3.8.0,0
s_p_002797_00008,p_002797,2024-01-08T11:55:38Z,2024-01-08T12:32:01Z,2183,8,7,1,3.6.0,0
s_p_002797_00009,p_002797,2024-01-08T19:42:44Z,2024-01-08T20:17:24Z,2080,9,7,0,3.4.1,0
s_p_002797_00010,p_002797,2024-01-09T09:38:24Z,2024-01-09T09:50:54Z,750,10,8,0,3.9.2,0
s_p_002797_00011,p_002797,2024-01-10T06:24:27Z,2024-01-10T07:00:57Z,2190,11,9,0,3.6.0,0
s_p_002797_00012,p_002797,2024-01-10T09:21:03Z,2024-01-10T09:52:08Z,1865,12,9,0,3.8.0,0
s_p_002797_00013,p_002797,2024-01-14T19:46:18Z,2024-01-14T20:10:16Z,1438,13,13,4,3.9.2,0
s_p_002797_00014,p_002797,2024-01-15T15:24:56Z,2024-01-15T15:50:58Z,1562,14,14,0,3.8.0,0
s_p_002797_00015,p_002797,2024-01-15T15:43:16Z,2024-01-15T16:11:17Z,1681,15,14,0,3.9.2,0
s_p_002797_00016,p_002797,2024-01-16T23:13:26Z,2024-01-16T23:41:11Z,1665,16,15,1,3.9.2,0
s_p_002797_00017,p_002797,2024-01-19T19:43:51Z,2024-01-19T20:05:13Z,1282,17,18,2,3.8.0,0
s_p_002797_00018,p_002797,2024-01-22T16:16:05Z,2024-01-22T16:32:59Z,1014,18,21,2,3.7.1,1
s_p_002797_00019,p_002797,2024-01-25T09:34:40Z,2024-01-25T10:10:07Z,2127,19,24,2,3.6.0,0
s_p_002797_00020,p_002797,2024-01-25T13:23:19Z,2024-01-25T13:44:20Z,1261,20,24,0,3.9.2,0
s_p_002797_00021,p_002797,2024-01-27T17:53:59Z,2024-01-27T18:22:53Z,1734,21,26,2,3.7.1,0
s_p_002797_00022,p_002797,2024-02-01T06:40:12Z,2024-02-01T06:58:09Z,1077,22,31,4,3.5.0,0
s_p_002797_00023,p_002797,2024-02-01T06:55:51Z,2024-02-01T07:20:00Z,1449,23,31,0,3.6.0,0
s_p_002797_00024,p_002797,2024-02-02T15:35:22Z,2024-02-02T15:56:13Z,1251,24,32,1,3.7.1,0
s_p_002797_00025,p_002797,2024-02-04T09:37:06Z,2024-02-04T10:14:38Z,2252,25,34,1,3.7.1,0
s_p_002797_00026,p_002797,2024-02-04T13:00:31Z,2024-02-04T13:37:25Z,2214,26,34,0,3.9.2,0
s_p_002797_00027,p_002797,2024-02-04T15:21:07Z,2024-02-04T15:51:53Z,1846,27,34,0,3.5.0,0
s_p_002797_00028,p_002797,2024-02-05T09:13:02Z,2024-02-05T09:31:57Z,1135,28,35,0,3.9.2,0
s_p_002797_00029,p_002797,2024-02-06T16:18:36Z,2024-02-06T16:47:32Z,1736,29,36,1,3.5.0,0
s_p_002797_00030,p_002797,2024-02-07T18:55:59Z,2024-02-07T19:08:31Z,752,30,37,1,3.7.1,0
s_p_002797_00031,p_002797,2024-02-08T11:40:30Z,2024-02-08T11:57:09Z,999,31,38,0,3.5.0,0
s_p_002797_00032,p_002797,2024-02-11T14:19:13Z,2024-02-11T14:57:23Z,2290,32,41,3,3.5.0,0
s_p_002797_00033,p_002797,2024-02-11T15:16:56Z,2024-02-11T15:40:26Z,1410,33,41,0,3.9.2,0
s_p_002797_00034,p_002797,2024-02-13T12:09:59Z,2024-02-13T12:46:39Z,2200,34,43,1,3.9.2,0
s_p_002797_00035,p_002797,2024-02-16T10:35:36Z,2024-02-16T11:01:42Z,1566,35,46,2,3.7.1,0
s_p_002797_00036,p_002797,2024-02-16T19:35:10Z,2024-02-16T19:57:46Z,1356,36,46,0,3.9.2,0
s_p_002797_00037,p_002797,2024-02-18T06:39:07Z,2024-02-18T07:13:32Z,2065,37,48,1,3.8.0,0
s_p_002797_00038,p_002797,2024-02-19T19:55:01Z,2024-02-19T20:31:45Z,2204,38,49,1,3.9.2,0
s_p_002797_00039,p_002797,2024-02-20T11:34:45Z,2024-02-20T11:51:47Z,1022,39,50,0,3.7.1,0
s_p_002797_00040,p_002797,2024-02-20T23:26:05Z,2024-02-20T23:58:10Z,1925,40,50,0,3.7.1,0
s_p_002797_00041,p_002797,2024-02-21T18:37:38Z,2024-02-21T19:04:57Z,1639,41,51,0,3.6.0,0
s_p_002797_00042,p_002797,2024-02-25T08:05:50Z,2024-02-25T08:39:42Z,2032,42,55,3,3.5.0,1
s_p_002797_00043,p_002797,2024-02-25T12:06:02Z,2024-02-25T12:18:41Z,759,43,55,0,3.9.2,0
s_p_002797_00044,p_002797,2024-02-25T19:45:05Z,2024-02-25T20:22:09Z,2224,44,55,0,3.6.0,0
s_p_002797_00045,p_002797,2024-02-25T20:53:43Z,2024-02-25T21:15:06Z,1283,45,55,0,3.5.0,0
s_p_002797_00046,p_002797,2024-02-26T07:38:50Z,2024-02-26T08:18:32Z,2382,46,56,0,3.9.2,0
s_p_002797_00047,p_002797,2024-02-26T07:46:15Z,2024-02-26T08:19:43Z,2008,47,56,0,3.7.1,0
s_p_002797_00048,p_002797,2024-03-01T11:51:49Z,2024-03-01T12:25:47Z,2038,48,60,4,3.9.2,0
s_p_002797_00049,p_002797,2024-03-01T21:15:12Z,2024-03-01T21:34:16Z,1144,49,60,0,3.7.1,0
s_p_002797_00050,p_002797,2024-03-02T09:39:55Z,2024-03-02T10:15:10Z,2115,50,61,0,3.9.2,0
s_p_002797_00051,p_002797,2024-03-03T07:45:58Z,2024-03-03T08:19:53Z,2035,51,62,0,3.5.0,0
s_p_002797_00052,p_002797,2024-03-04T16:45:18Z,2024-03-04T17:24:19Z,2341,52,63,1,3.7.1,0
s_p_002797_00053,p_002797,2024-03-06T14:11:45Z,2024-03-06T14:25:48Z,843,53,65,1,3.5.0,0
s_p_002797_00054,p_002797,2024-03-06T18:08:29Z,2024-03-06T18:36:25Z,1676,54,65,0,3.8.0,0
s_p_002797_00055,p_002797,2024-03-07T07:00:09Z,2024-03-07T07:19:25Z,1156,55,66,0,3.6.0,0
s_p_002797_00056,p_002797,2024-03-07T15:25:11Z,2024-03-07T15:46:06Z,1255,56,66,0,3.4.1,0
s_p_002797_00057,p_002797,2024-03-08T13:17:56Z,2024-03-08T13:48:52Z,1856,57,67,0,3.5.0,0
s_p_002797_00058,p_002797,2024-03-08T16:41:23Z,2024-03-08T17:15:47Z,2064,58,67,0,3.8.0,0
s_p_002797_00059,p_002797,2024-03-09T08:02:10Z,2024-03-09T08:38:29Z,2179,59,68,0,3.8.0,0
