interaction_id,from_player_id,to_player_id,interaction_type,interaction_timestamp
si_0000000,p_001433,p_002473,chat_message,2024-07-09T14:17:16.843Z
si_0000001,p_001433,p_002317,gift_sent,2024-07-12T15:53:01.897Z
si_0000002,p_002090,p_002319,chat_message,2024-09-17T01:31:47.223Z
si_0000003,p_002090,p_001487,chat_message,2024-09-18T15:28:50.149Z
si_0000004,p_002090,p_002756,chat_message,2024-09-20T16:25:42.312Z
si_0000005,p_002090,p_002451,friend_accepted,2024-09-20T23:17:34.849Z
si_0000006,p_002090,p_002842,gift_sent,2024-09-19T21:58:56.334Z
si_0000007,p_002090,p_002430,chat_message,2024-09-16T03:07:44.953Z
si_0000008,p_002090,p_002227,gift_sent,2024-09-16T00:48:43.497Z
si_0000009,p_002090,p_002170,friend_request,2024-09-21T05:48:32.111Z
si_000000a,p_002090,p_002246,friend_accepted,2024-09-18T21:23:06.865Z
si_000000b,p_002090,p_002937,gift_sent,2024-09-21T22:08:16.865Z
si_000000c,p_002090,p_002489,chat_message,2024-09-18T17:25:56.153Z
si_000000d,p_002090,p_002125,gift_sent,2024-09-17T12:04:31.800Z
si_000000e,p_002090,p_002949,chat_message,2024-09-17T17:37:49.258Z
si_000000f,p_002090,p_002414,gift_sent,2024-09-19T13:44:35.623Z
si_000000g,p_002090,p_002949,gift_sent,2024-09-19T21:08:18.458Z
si_000000h,p_002825,p_000582,gift_sent,2024-12-29T00:41:07.201Z
si_000000i,p_002825,p_000497,gift_sent,2024-03-27T16:30:58.014Z
si_000000j,p_002825,p_000450,friend_accepted,2024-09-16T04:25:38.965Z
si_000000k,p_002825,p_002112,gift_sent,2024-05-13T11:56:30.893Z
si_000000l,p_002825,p_002277,friend_accepted,2024-04-14T12:36:49.374Z
si_000000m,p_002825,p_002170,friend_request,2024-05-17T04:55:09.645Z
si_000000n,p_002825,p_002559,friend_request,2024-10-16T06:32:07.151Z
si_000000o,p_002825,p_002732,chat_message,2024-04-01T16:35:07.569Z
si_000000p,p_002825,p_001357,friend_request,2024-04-10T14:53:40.076Z
si_000000q,p_002825,p_002846,gift_sent,2024-06-15T05:01:29.276Z
si_000000r,p_002825,p_000652,gift_sent,2024-03-23T12:26:37.846Z
si_000000s,p_002825,p_002399,gift_sent,2024-07-06T19:30:28.666Z
si_000000t,p_002825,p_002521,gift_sent,2024-11-11T12:55:13.263Z
si_000000u,p_002825,p_002274,gift_sent,2024-03-21T17:57:05.004Z
si_000000v,p_002825,p_002885,gift_sent,2024-06-20T15:35:41.584Z
si_000000w,p_002825,p_002297,friend_accepted,2024-08-21T11:51:18.203Z
si_000000x,p_002825,p_001297,friend_request,2024-06-12T15:17:59.917Z
si_000000y,p_002825,p_002462,gift_sent,2024-06-15T19:24:15.229Z
si_000000z,p_002825,p_002587,friend_accepted,2024-09-24T04:34:54.157Z
si_0000010,p_002825,p_001191,chat_message,2024-08-20T15:41:41.524Z
si_0000011,p_002825,p_002381,gift_sent,2024-03-07T18:55:28.421Z
si_0000012,p_002825,p_002519,gift_sent,2024-06-11T23:29:18.331Z
si_0000013,p_002825,p_002666,gift_sent,2024-06-12T06:38:51.295Z
si_0000014,p_002825,p_002167,gift_sent,2024-10-22T14:22:53.524Z
si_0000015,p_002825,p_000785,gift_sent,2024-04-28T01:36:58.880Z
si_0000016,p_002825,p_002676,gift_sent,2024-10-30T20:57:39.505Z
si_0000017,p_002825,p_002153,gift_sent,2024-11-01T15:37:54.697Z
si_0000018,p_001122,p_002200,chat_message,2024-08-23T01:42:02.821Z
si_0000019,p_001122,p_002628,friend_request,2024-09-22T01:06:07.017Z
si_000001a,p_001122,p_002295,gift_sent,2024-09-03T14:19:12.959Z
si_000001b,p_001122,p_002624,gift_sent,2024-09-22T06:11:38.598Z
si_000001c,p_001807,p_001238,gift_sent,2024-04-06T20:41:57.751Z
si_000001d,p_001807,p_000730,gift_sent,2024-04-08T00:33:38.334Z
si_000001e,p_001807,p_002284,chat_message,2024-04-05T13:22:31.933Z
si_000001f,p_001807,p_001573,gift_sent,2024-04-15T14:09:15.949Z
si_000001g,p_001807,p_002223,gift_sent,2024-04-09T21:15:42.525Z
si_000001h,p_001807,p_002323,gift_sent,2024-04-09T06:32:55.722Z
si_000001i,p_001807,p_002971,gift_sent,2024-04-04T11:21:34.556Z
si_000001j,p_001807,p_002886,friend_accepted,2024-04-17T10:59:30.637Z
si_000001k,p_001807,p_002619,gift_sent,2024-04-13T04:25:03.340Z
si_000001l,p_001807,p_000824,gift_sent,2024-04-14T06:48:06.250Z
si_000001m,p_001807,p_001552,gift_sent,2024-04-13T15:19:27.834Z
si_000001n,p_001807,p_001338,gift_sent,2024-04-16T21:47:41.103Z
si_000001o,p_001807,p_002679,gift_sent,2024-04-16T19:02:50.176Z
si_000001p,p_001807,p_002670,gift_sent,2024-04-08T04:04:57.583Z
si_000001q,p_001807,p_002394,gift_sent,2024-04-11T04:31:34.721Z
si_000001r,p_001807,p_001447,gift_sent,2024-04-13T03:13:57.516Z
si_000001s,p_001807,p_002973,friend_accepted,2024-04-10T03:47:39.599Z
si_000001t,p_001807,p_002172,gift_sent,2024-04-13T18:22:51.156Z
si_000001u,p_002657,p_002585,friend_request,2024-09-25T11:24:30.730Z
si_000001v,p_002657,p_002242,gift_sent,2024-08-19T17:52:46.407Z
si_000001w,p_002657,p_000314,gift_sent,2024-09-11T13:23:31.981Z
si_000001x,p_002657,p_001847,friend_request,2024-04-20T00:32:44.552Z
si_000001y,p_002657,p_001783,friend_accepted,2024-12-26T21:05:24.953Z
si_000001z,p_002657,p_002538,friend_accepted,2024-12-28T12:17:53.856Z
si_0000020,p_002657,p_002378,chat_message,2024-11-17T21:21:30.079Z
si_0000021,p_002657,p_002261,gift_sent,2024-10-28T03:10:14.895Z
si_0000022,p_002657,p_001466,gift_sent,2024-07-28T02:31:00.143Z
si_0000023,p_002657,p_002308,chat_message,2024-10-02T04:06:27.742Z
si_0000024,p_002657,p_002160,friend_accepted,2024-04-16T23:40:34.480Z
si_0000025,p_002657,p_001009,friend_accepted,2024-10-25T06:58:44.196Z
si_0000026,p_002657,p_002296,gift_sent,2024-08-03T16:39:53.023Z
si_0000027,p_002657,p_002219,gift_sent,2024-09-29T13:31:40.929Z
si_0000028,p_002657,p_002756,gift_sent,2024-07-21T19:03:03.250Z
si_0000029,p_002657,p_002319,gift_sent,2024-07-11T18:02:43.230Z
si_000002a,p_002657,p_000641,gift_sent,2024-09-19T20:39:37.182Z
si_000002b,p_002657,p_002680,gift_sent,2024-08-04T00:53:18.236Z
si_000002c,p_002657,p_002171,chat_message,2024-05-12T20:47:36.983Z
si_000002d,p_002657,p_002319,gift_sent,2024-10-29T13:26:40.408Z
si_000002e,p_002657,p_002652,chat_message,2024-06-21T01:25:00.813Z
si_000002f,p_002657,p_002945,friend_accepted,2024-04-19T18:50:11.121Z
si_000002g,p_002657,p_002489,gift_sent,2024-09-24T05:00:40.154Z
si_000002h,p_002657,p_001598,gift_sent,2024-07-14T23:09:29.053Z
si_000002i,p_002657,p_002857,gift_sent,2024-06-21T10:25:33.238Z
si_000002j,p_002657,p_001572,gift_sent,2024-06-02T20:28:30.351Z
si_000002k,p_002657,p_002280,gift_sent,2024-07-20T12:08:23.640Z
si_000002l,p_002657,p_002576,friend_accepted,2024-10-13T01:16:42.866Z
si_000002m,p_002657,p_002336,chat_message,2024-05-28T00:08:50.150Z
si_000002n,p_002657,p_001328,gift_sent,2024-10-18T04:09:40.480Z
si_000002o,p_002657,p_000768,chat_message,2024-10-04T22:12:54.280Z
si_000002p,p_002657,p_002827,chat_message,2024-11-17T22:32:05.250Z
si_000002q,p_002657,p_002514,gift_sent,2024-07-21T18:32:13.372Z
si_000002r,p_002657,p_002462,gift_sent,2024-06-13T05:46:57.035Z
si_000002s,p_002657,p_001743,gift_sent,2024-06-26T22:39:50.438Z
si_000002t,p_002657,p_001053,gift_sent,2024-04-14T02:57:31.019Z
si_000002u,p_002657,p_002286,chat_message,2024-11-07T05:10:19.192Z
si_000002v,p_002657,p_002894,chat_message,2024-10-13T04:15:04.240Z
si_000002w,p_002657,p_001449,gift_sent,2024-08-19T07:57:04.125Z
si_000002x,p_002657,p_002810,gift_sent,2024-06-04T22:31:19.113Z
si_000002y,p_002657,p_002961,gift_sent,2024-10-15T18:48:52.601Z
si_000002z,p_002657,p_002944,friend_accepted,2024-04-24T06:54:36.314Z
si_0000030,p_002657,p_002242,friend_request,2024-09-05T17:21:38.450Z
si_0000031,p_002657,p_002644,gift_sent,2024-11-09T13:19:46.997Z
